 254     12      1      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      4    700  18480   -561   -891    305     93
      5    677  18692  99999  99999    300     57
      5    661  18844  99999  99999    280     82
      5    639  19059  99999  99999    305    108
      5    601  19449  99999  99999    325     51
      5    584  19631  99999  99999    330     36
      5    569  19796  99999  99999    295     62
      5    542  20105  99999  99999    300     77
      5    525  20308  99999  99999    275     82
      4    500  20620   -557   -897    310     67
      5    495  20683  99999  99999    315     62
      5    479  20891  99999  99999    275     67
      5    443  21386  99999  99999    275    113
      5    421  21709  99999  99999    255     77
      5    407  21923  99999  99999    285     93
      5    392  22161  99999  99999    295    123
      5    380  22358  99999  99999    305    118
      5    325  23351  99999  99999    280     36
      5    312  23610  99999  99999    260     72
      4    300  23860   -577   -907    280    139
      5    274  99999  99999  99999    285    118
      5    259  99999  99999  99999    320    103
      5    246  25107   -581   -911  99999  99999
      5    240  99999  99999  99999    290     57
      5    237  99999  99999  99999    280     57
      5    204  26289   -559   -899    310    113
    254     12      4      OCT    2016
      1  99999   2836  67.37N 26.65E   178   1130
      2    200   2580   2120    122  99999      0
      3          EFSO                99999     ms
      9  10240    178     70    -10      0      0
      4  10000    371     40    -30    290     26
      5   9980    387     36    -34  99999  99999
      4   9250    998    -15    -65    305     41
      5   9060   1162    -29    -69  99999  99999
      5   9040   1179  99999  99999    320     51
      5   8730   1457      4   -286  99999  99999
      4   8500   1671     -3   -283    345    129
      5   8460   1708  99999  99999    345    134
      5   7840   2310    -45   -335  99999  99999
      5   7750   2400  99999  99999    340    149
      5   7010   3179    -99   -359  99999  99999
      4   7000   3194   -101   -351    345    108
      5   6970   3226  99999  99999    345    108
      5   6810   3405   -113   -163  99999  99999
      5   6750   3473   -117   -207  99999  99999
      5   6520   3737   -135   -150  99999  99999
      5   6170   4154   -153   -170  99999  99999
      5   6130   4203   -141   -188  99999  99999
      5   6110   4228   -139   -183  99999  99999
      5   5980   4389  99999  99999    345    154
      5   5840   4569   -157   -186  99999  99999
      5   5710   4738   -163   -253  99999  99999
      5   5670   4790  99999  99999    360    170
      5   5650   4817   -167   -227  99999  99999
      5   5530   4978   -173   -263  99999  99999
      5   5190   5448   -215   -295  99999  99999
      5   5170   5476   -215   -375  99999  99999
      4   5000   5730   -233   -363    350    231
      5   4960   5789   -237   -317  99999  99999
      5   4950   5804   -237   -275  99999  99999
      5   4750   6099  99999  99999    345    231
      5   4510   6476   -279   -317  99999  99999
      5   4490   6508   -277   -357  99999  99999
      5   4480   6524   -279   -379  99999  99999
      5   4450   6572   -273   -493  99999  99999
      5   4230   6933   -307   -407  99999  99999
      5   4100   7153   -323   -463  99999  99999
      4   4000   7330   -339   -449    350    293
      5   3550   8150   -417   -487  99999  99999
